id,name
offer_name_001,3DEXCITE_3DEXCITE DELTAGEN_On_Premise
offer_name_002,3DEXPERIENCE_Design/Engineering_On_Premise
offer_name_003,3DEXPERIENCE_Manufacturing/Production_On_Premise
offer_name_004,3DEXPERIENCE_Private Cloud Design/Engineering_Public_Cloud
offer_name_005,3DEXPERIENCE_Private Cloud Governance/Lifecycle_Public_Cloud
offer_name_006,3DEXPERIENCE_Private Cloud Manufacturing/Production_Public_Cloud
offer_name_007,3DEXPERIENCE_Private Cloud Simulation_Public_Cloud
offer_name_008,3DEXPERIENCE_Public Cloud Design/Engineering_Public_Cloud
offer_name_009,3DEXPERIENCE_Public Cloud for Academia_Public_Cloud
offer_name_010,3DEXPERIENCE_Public Cloud Governance/Lifecycle_Public_Cloud
offer_name_011,3DEXPERIENCE_Public Cloud Manufacturing/Production_Public_Cloud
offer_name_012,3DEXPERIENCE_Public Cloud Simulation_Public_Cloud
offer_name_013,3DEXPERIENCE_Simulation_On_Premise
offer_name_014,3DVIA_3DVIA Studio Pro_On_Premise
offer_name_015,3DVIA_3DVIA Virtools_On_Premise
offer_name_016,ACADEMIA_Academia CATIA EDU V5_On_Premise
offer_name_017,ACADEMIA_Academia DELMIA EDU V5_On_Premise
offer_name_018,ACADEMIA_Academia ENOVIA SMARTEAM EDU V5_On_Premise
offer_name_019,ACADEMIA_Dymola Academic Learn/Innovate_On_Premise
offer_name_020,ACADEMIA_ICEM Surf for Academia _On_Premise
offer_name_021,ACADEMIA_Public Cloud for Academia_Public_Cloud
offer_name_022,ACADEMIA_V6 for Academia_On_Premise
offer_name_023,AD_Co-design to target_On_Premise
offer_name_024,AD_Engineered to Fly for Mid-Market_On_Premise
offer_name_025,AD_Engineered to Fly for Mid-Market_Public_Cloud
offer_name_026,AD_Engineered to Fly_On_Premise
offer_name_027,AD_Test To perform_On_Premise
offer_name_028,AD_Winning Program_On_Premise
offer_name_029,AEC_Civil Design for Fabrication_On_Premise
offer_name_030,AEC_Civil Design for Fabrication_Public_Cloud
offer_name_031,AEC_Facade Design for Fabrication_On_Premise
offer_name_032,AEC_Facade Design for Fabrication_Public_Cloud
offer_name_033,AEC_Optimized Construction_On_Premise
offer_name_034,BIOVIA_Biodesign_On_Premise
offer_name_035,CATIA_CATIA Composer_On_Premise
offer_name_036,CATIA_CATIA V4_On_Premise
offer_name_037,CATIA_CATIA V5 PLM Express Edition 3 _On_Premise
offer_name_038,CATIA_CATIA V5_On_Premise
offer_name_039,CATIA_CATIA V6_On_Premise
offer_name_040,CATIA_Design/Engineering_On_Premise
offer_name_041,CATIA_Dymola_On_Premise
offer_name_042,CATIA_ICEM Surf_On_Premise
offer_name_043,CATIA_Private Cloud Design/Engineering_Public_Cloud
offer_name_044,CATIA_Public Cloud Design/Engineering_Public_Cloud
offer_name_045,CATIA_Reqtify - ControlBuild - AUTOSAR Builder_On_Premise
offer_name_046,CG_My Collection (Fashion)_On_Premise
offer_name_047,CG_My Product Portfolio (On Cloud)_Public_Cloud
offer_name_048,CG_My Product Portfolio_On_Premise
offer_name_049,CG_My Store_On_Premise
offer_name_050,CPG_perfect Package (on Cloud)_Public_Cloud
offer_name_051,CPG_Perfect Package_On_Premise
offer_name_052,CPG_Perfect Product_On_Premise
offer_name_053,CPG_Perfect Shelf_On_Premise
offer_name_054,CPG_Perfect Shelf_Public_Cloud
